epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.1226,1.5656,3.59881,1.31682,0.00485,0.64,0.00854,0.00321,1.64142,3.79375,1.44505,0.00016,0.00016,0.00016
2,11.6015,1.21447,2.73745,1.0688,0.00701,0.92,0.02874,0.01617,1.17187,3.31977,0.95857,0.000336634,0.000336634,0.000336634
3,16.9053,1.14792,1.68046,1.01543,0.00697,0.92,0.48627,0.28664,1.20926,2.97597,1.02309,0.000509704,0.000509704,0.000509704
4,22.5308,1.21712,1.60181,1.08039,1,0.64403,0.9521,0.64227,1.17009,2.42657,0.94314,0.00067921,0.00067921,0.00067921
5,27.881,1.17587,1.41303,1.01415,1,0.76962,0.95395,0.65602,1.09313,2.26283,0.90174,0.000845152,0.000845152,0.000845152
6,33.1523,1.24395,1.36859,1.01815,1,0.51709,0.93979,0.59087,1.15717,2.29701,0.88556,0.00100753,0.00100753,0.00100753
7,38.5022,1.19379,1.45223,1.01843,1,0.51113,0.92927,0.60943,1.22023,2.23717,0.91302,0.00116634,0.00116634,0.00116634
8,43.7435,1.14533,1.50848,1.02501,1,0.74323,0.90964,0.60809,1.2827,2.04876,0.9873,0.00132159,0.00132159,0.00132159
9,49.1012,1.13478,1.30514,1.03801,1,0.74323,0.90964,0.60809,1.2827,2.04876,0.9873,0.00147328,0.00147328,0.00147328
10,54.2562,1.17627,1.36128,1.02991,0.87796,0.86367,0.91211,0.6422,1.15698,1.58771,0.92126,0.0016214,0.0016214,0.0016214
11,59.6985,1.13821,1.26921,1.03809,0.87796,0.86367,0.91211,0.6422,1.15698,1.58771,0.92126,0.00176596,0.00176596,0.00176596
12,64.9262,1.11775,1.2082,1.0183,0.87174,0.92,0.95548,0.67594,1.09075,1.4194,0.92633,0.0017822,0.0017822,0.0017822
13,70.0849,1.16677,1.23639,1.03548,0.87174,0.92,0.95548,0.67594,1.09075,1.4194,0.92633,0.0017624,0.0017624,0.0017624
14,75.4955,1.07646,1.14391,0.999,1,0.87729,0.96235,0.63579,1.27797,1.48284,1.00892,0.0017426,0.0017426,0.0017426
15,80.951,1.08778,1.19422,1.0412,0.85314,0.8,0.92313,0.6805,1.1406,1.62282,0.96274,0.0017228,0.0017228,0.0017228
16,86.1956,1.00637,1.1082,0.98797,0.85314,0.8,0.92313,0.6805,1.1406,1.62282,0.96274,0.001703,0.001703,0.001703
17,91.8449,1.00342,1.0386,0.96735,0.92192,0.96,0.98465,0.73061,1.03521,1.31414,0.94985,0.0016832,0.0016832,0.0016832
18,97.3179,1.08019,1.07581,0.99678,0.92192,0.96,0.98465,0.73061,1.03521,1.31414,0.94985,0.0016634,0.0016634,0.0016634
19,102.81,0.99983,1.04008,0.98665,0.98098,0.88,0.9769,0.73538,1.006,1.20218,0.96173,0.0016436,0.0016436,0.0016436
20,108.366,0.97366,1.00192,0.96148,0.98098,0.88,0.9769,0.73538,1.006,1.20218,0.96173,0.0016238,0.0016238,0.0016238
21,113.774,0.98266,1.0013,0.96118,0.95773,0.90678,0.97929,0.72134,1.07751,1.17308,0.96602,0.001604,0.001604,0.001604
22,119.382,0.88853,0.96473,0.93124,0.86764,0.92,0.97003,0.70671,1.08015,1.18403,0.98363,0.0015842,0.0015842,0.0015842
23,124.814,0.93428,0.97325,0.9456,0.86764,0.92,0.97003,0.70671,1.08015,1.18403,0.98363,0.0015644,0.0015644,0.0015644
24,130.212,1.04273,1.04308,0.96149,0.99863,0.88,0.98,0.72051,1.07307,1.19765,0.99143,0.0015446,0.0015446,0.0015446
25,135.788,0.85017,0.93327,0.9283,0.99863,0.88,0.98,0.72051,1.07307,1.19765,0.99143,0.0015248,0.0015248,0.0015248
26,141.312,0.98183,0.94204,0.94078,0.92554,0.96,0.98884,0.74016,1.04552,1.1222,0.9528,0.001505,0.001505,0.001505
27,146.601,0.99683,1.14233,0.98274,0.92554,0.96,0.98884,0.74016,1.04552,1.1222,0.9528,0.0014852,0.0014852,0.0014852
28,151.977,0.9393,0.98488,0.95793,0.96113,0.98935,0.99192,0.73686,1.02674,1.07697,0.94174,0.0014654,0.0014654,0.0014654
29,157.74,0.88293,0.8452,0.92351,0.96113,0.98935,0.99192,0.73686,1.02674,1.07697,0.94174,0.0014456,0.0014456,0.0014456
30,163.003,0.85106,0.79127,0.89235,0.95893,1,0.98885,0.71349,0.97028,1.05633,0.93152,0.0014258,0.0014258,0.0014258
31,168.471,0.85128,0.83351,0.90344,0.95611,1,0.98885,0.73755,0.91179,1.00588,0.91904,0.001406,0.001406,0.001406
32,173.911,0.9305,0.95823,0.96112,0.95611,1,0.98885,0.73755,0.91179,1.00588,0.91904,0.0013862,0.0013862,0.0013862
33,179.294,0.86317,0.8637,0.93507,0.99207,1,0.995,0.7774,0.84878,0.93287,0.89434,0.0013664,0.0013664,0.0013664
34,184.884,0.88705,0.84268,0.93016,0.99207,1,0.995,0.7774,0.84878,0.93287,0.89434,0.0013466,0.0013466,0.0013466
35,190.419,0.90365,0.90053,0.94037,0.99376,1,0.995,0.79201,0.89677,0.90803,0.91064,0.0013268,0.0013268,0.0013268
36,195.959,0.87762,0.83392,0.92816,0.99376,1,0.995,0.79201,0.89677,0.90803,0.91064,0.001307,0.001307,0.001307
37,201.666,0.84393,0.83189,0.92031,0.99591,1,0.995,0.78803,0.85637,0.89163,0.89034,0.0012872,0.0012872,0.0012872
38,207.133,0.81889,0.81743,0.92988,0.99379,1,0.995,0.73165,0.98059,0.86282,0.91183,0.0012674,0.0012674,0.0012674
39,212.616,0.87695,0.84515,0.9377,0.99379,1,0.995,0.73165,0.98059,0.86282,0.91183,0.0012476,0.0012476,0.0012476
40,217.823,0.81407,0.75836,0.8882,1,0.9905,0.995,0.73162,0.94916,0.86512,0.90764,0.0012278,0.0012278,0.0012278
41,223.361,0.80456,0.84971,0.92843,1,0.9905,0.995,0.73162,0.94916,0.86512,0.90764,0.001208,0.001208,0.001208
42,228.721,0.83718,0.80967,0.93653,0.9959,0.96,0.99204,0.76907,0.92376,0.88711,0.88378,0.0011882,0.0011882,0.0011882
43,234.044,0.82672,0.86707,0.90745,0.9959,0.96,0.99204,0.76907,0.92376,0.88711,0.88378,0.0011684,0.0011684,0.0011684
44,239.599,0.77821,0.73484,0.90185,1,0.99304,0.995,0.74711,0.95195,0.88015,0.88011,0.0011486,0.0011486,0.0011486
45,245.18,0.7709,0.80015,0.9209,1,0.99304,0.995,0.74711,0.95195,0.88015,0.88011,0.0011288,0.0011288,0.0011288
46,250.393,0.73862,0.72797,0.88019,1,0.99858,0.995,0.74996,0.96207,0.87886,0.88709,0.001109,0.001109,0.001109
47,256.042,0.81758,0.82942,0.90762,0.99518,1,0.995,0.7486,0.95009,0.89125,0.91465,0.0010892,0.0010892,0.0010892
48,261.432,0.79931,0.78107,0.93676,0.99518,1,0.995,0.7486,0.95009,0.89125,0.91465,0.0010694,0.0010694,0.0010694
49,266.804,0.80318,0.86414,0.96489,0.99427,1,0.995,0.77859,0.87452,0.87789,0.89887,0.0010496,0.0010496,0.0010496
50,272.284,0.72886,0.69051,0.85925,0.99427,1,0.995,0.77859,0.87452,0.87789,0.89887,0.0010298,0.0010298,0.0010298
51,277.649,0.76079,0.77691,0.91394,0.99717,1,0.995,0.80193,0.81735,0.85501,0.86483,0.00101,0.00101,0.00101
52,282.907,0.75454,0.69551,0.89329,0.99717,1,0.995,0.80193,0.81735,0.85501,0.86483,0.0009902,0.0009902,0.0009902
53,288.635,0.73928,0.78845,0.91979,0.99662,1,0.995,0.78398,0.81155,0.83087,0.86171,0.0009704,0.0009704,0.0009704
54,294.018,0.75093,0.7813,0.93319,0.99575,1,0.995,0.76119,0.89935,0.83478,0.89698,0.0009506,0.0009506,0.0009506
55,299.714,0.71594,0.72472,0.88271,0.99575,1,0.995,0.76119,0.89935,0.83478,0.89698,0.0009308,0.0009308,0.0009308
56,305.07,0.73976,0.71969,0.88323,0.99427,1,0.995,0.75764,0.88152,0.83069,0.91825,0.000911,0.000911,0.000911
57,310.459,0.74851,0.75443,0.91111,0.99427,1,0.995,0.75764,0.88152,0.83069,0.91825,0.0008912,0.0008912,0.0008912
58,315.777,0.7596,0.76634,0.89941,0.99458,1,0.995,0.79394,0.84073,0.8232,0.89514,0.0008714,0.0008714,0.0008714
59,321.085,0.72149,0.71068,0.87963,0.99458,1,0.995,0.79394,0.84073,0.8232,0.89514,0.0008516,0.0008516,0.0008516
60,326.636,0.69724,0.6796,0.88361,0.99935,1,0.995,0.78735,0.84095,0.79745,0.88354,0.0008318,0.0008318,0.0008318
61,331.891,0.73226,0.68196,0.895,0.99935,1,0.995,0.78735,0.84095,0.79745,0.88354,0.000812,0.000812,0.000812
62,337.069,0.74379,0.78632,0.91278,0.99903,1,0.995,0.78089,0.85501,0.78411,0.88693,0.0007922,0.0007922,0.0007922
